City,Lat,Long,Max_temp,Humidity,Cloudiness,Wind_Speed,Country,Date
kapaa,22.08,-159.32,80.6,69,20,10.29,US,1609278711
ajdabiya,30.76,20.23,56.93,50,0,10.22,LY,1609278980
tasiilaq,65.61,-37.64,17.6,92,14,2.24,GL,1609278981
busselton,-33.65,115.33,64.0,74,25,3.0,AU,1609278651
ushuaia,-54.8,-68.3,55.4,37,20,9.17,AR,1609278661
new norfolk,-42.78,147.06,63.0,54,61,3.0,AU,1609278689
atuona,-9.8,-139.03,78.91,74,0,15.64,PF,1609278707
magadan,59.57,150.8,-5.24,89,100,12.35,RU,1609278986
umm lajj,25.02,37.27,75.02,61,0,4.9,SA,1609278987
puerto ayora,-0.74,-90.35,84.2,54,40,16.11,EC,1609278784
cabo san lucas,22.89,-109.91,73.99,60,5,18.34,MX,1609278989
ikalamavony,-21.15,46.58,69.85,77,100,6.33,MG,1609278990
karpogory,64.0,44.45,6.6,93,100,6.98,RU,1609278991
cape town,-33.93,18.42,66.0,77,0,9.17,ZA,1609278750
hermanus,-34.42,19.23,62.01,80,0,3.0,ZA,1609278666
gumla,23.05,84.55,55.69,66,23,3.98,IN,1609278994
slave lake,55.28,-114.77,12.2,78,1,3.36,CA,1609278995
la ronge,55.1,-105.28,15.8,78,83,4.7,CA,1609278998
pisco,-13.7,-76.22,73.4,78,0,17.22,PE,1609278999
shushenskoye,53.33,91.94,-20.2,75,87,2.24,RU,1609278792
rawson,-43.3,-65.1,77.47,35,55,37.11,AR,1609278928
carnarvon,-24.87,113.63,75.2,100,40,10.29,AU,1609278778
azad shahr,34.79,48.57,34.41,82,13,1.32,IR,1609279003
mahon,39.89,4.27,51.8,53,37,9.17,ES,1609279004
milkovo,54.72,158.62,-4.52,89,77,1.9,RU,1609279005
poum,-20.23,164.02,81.68,79,36,24.81,NC,1609279006
staryy nadym,65.61,72.68,-11.36,89,96,10.29,RU,1609279007
vestmannaeyjar,63.44,-20.27,32.04,92,100,15.97,IS,1609278775
bethel,41.37,-73.41,33.8,47,75,13.87,US,1609279009
namatanai,-3.67,152.43,80.1,79,91,0.67,PG,1609278757
punta arenas,-53.15,-70.92,55.4,47,0,20.8,CL,1609278652
castro,-24.79,-50.01,68.79,90,100,2.57,BR,1609278668
elk grove,38.41,-121.37,59.0,41,1,4.7,US,1609278919
nova vicosa,-17.89,-39.37,76.71,81,0,8.12,BR,1609279016
dunedin,-45.87,170.5,58.93,75,100,1.77,NZ,1609279017
saint george,37.1,-113.58,48.99,36,1,3.36,US,1609279018
barrow,71.29,-156.79,-9.4,76,1,11.41,US,1609278731
longyearbyen,78.22,15.64,32.0,95,75,6.93,SJ,1609279020
ribeira grande,38.52,-28.7,55.4,76,40,11.41,PT,1609279021
lompoc,34.64,-120.46,60.8,48,1,11.41,US,1609279022
padang,-0.95,100.35,78.04,77,98,5.53,ID,1609279023
torbay,47.67,-52.73,36.0,94,90,12.75,CA,1609278668
jamestown,42.1,-79.24,26.01,68,90,12.75,US,1609278612
quatre cocos,-20.21,57.76,77.0,78,40,11.41,MU,1609279026
saint anthony,45.02,-93.22,21.99,85,90,6.93,US,1609279027
hilo,19.73,-155.09,80.6,61,40,6.93,US,1609279029
butaritari,3.07,172.79,81.72,79,95,19.48,KI,1609278717
kaitangata,-46.28,169.85,64.0,63,100,4.0,NZ,1609278708
najran,17.49,44.13,55.4,50,0,1.5,SA,1609279032
poso,-1.4,120.75,78.01,76,100,3.87,ID,1609279033
harer,9.31,42.13,58.87,79,0,2.91,ET,1609279034
saint-philippe,-21.36,55.77,77.0,65,0,14.99,RE,1609278786
tome,-36.62,-72.95,68.0,56,0,17.22,CL,1609279038
saldanha,-33.01,17.94,62.6,72,0,1.12,ZA,1609279039
rath,25.58,79.57,46.33,55,0,5.64,IN,1609279040
nanortalik,60.14,-45.24,24.85,90,96,6.87,GL,1609278662
qaanaaq,77.48,-69.36,7.47,84,25,3.53,GL,1609279042
ostrovnoy,68.05,39.51,18.27,93,96,16.31,RU,1609279043
doka,13.52,35.77,74.8,35,0,9.48,SD,1609279044
ponta do sol,32.67,-17.1,59.0,72,75,10.29,PT,1609279045
tura,25.52,90.22,57.0,74,0,4.45,IN,1609279047
cayenne,4.93,-52.33,80.6,88,90,4.7,GF,1609279048
colares,38.8,-9.45,48.99,89,0,17.0,PT,1609279049
salalah,17.02,54.09,75.2,38,0,10.29,OM,1609279050
peniche,39.36,-9.38,50.0,78,0,5.01,PT,1609279051
egvekinot,66.32,-179.17,-5.17,92,100,16.22,RU,1609279052
tuktoyaktuk,69.45,-133.04,-4.0,76,90,11.41,CA,1609279053
yellowknife,62.46,-114.35,-2.2,77,90,2.24,CA,1609278785
astoria,46.19,-123.83,45.0,80,90,10.29,US,1609279055
bilma,18.69,12.92,61.88,28,0,5.46,NE,1609279056
albany,42.6,-73.97,28.0,45,95,3.0,US,1609278511
dikson,73.51,80.55,-23.13,82,0,4.79,RU,1609278723
siilinjarvi,63.08,27.67,26.6,92,90,12.75,FI,1609279059
port hedland,-20.32,118.57,82.4,83,58,5.82,AU,1609279060
gambela,8.25,34.58,82.62,33,7,0.96,ET,1609279061
avera,33.19,-82.53,64.4,45,1,5.82,US,1609279063
mataura,-46.19,168.86,62.01,74,100,11.01,NZ,1609278663
tuatapere,-46.13,167.68,62.01,74,100,11.01,NZ,1609279065
talnakh,69.49,88.4,-21.84,69,0,5.39,RU,1609279066
sann,26.04,68.14,44.6,75,0,8.16,PK,1609279067
matara,5.95,80.54,74.32,88,2,8.08,LK,1609279068
half moon bay,37.46,-122.43,59.0,66,1,14.99,US,1609279069
benguela,-12.58,13.41,78.39,77,100,5.17,AO,1609279070
luderitz,-26.65,15.16,62.6,77,27,17.22,NA,1609278656
zyryanka,65.75,150.85,-31.54,83,98,12.68,RU,1609279072
iguape,-24.71,-47.56,76.8,88,100,7.14,BR,1609279073
khatanga,71.97,102.5,-31.22,84,87,8.48,RU,1609279074
nikolskoye,59.7,30.79,28.4,86,90,17.9,RU,1609278722
mar del plata,-38.0,-57.56,75.2,83,20,13.87,AR,1609279078
katsuura,35.13,140.3,61.0,70,66,13.0,JP,1609278678
bluff,-46.6,168.33,62.01,74,100,11.01,NZ,1609278713
arawa,-6.21,155.54,81.48,77,100,1.9,PG,1609279082
saint-pierre,-21.34,55.48,77.0,65,0,14.99,RE,1609279083
folldal,62.13,10.0,22.08,94,97,0.63,NO,1609279084
rikitea,-23.12,-134.97,78.17,76,100,8.86,PF,1609278709
lagoa,39.05,-27.98,57.31,71,100,17.96,PT,1609279086
luba,3.46,8.55,80.6,100,20,8.05,GQ,1609279087
celestun,20.87,-90.4,77.97,63,0,10.54,MX,1609279088
chuy,-33.7,-53.46,74.43,73,0,10.74,UY,1609279090
vaini,-21.2,-175.2,77.0,88,75,6.93,TO,1609279091
port alfred,-33.59,26.89,69.01,89,100,1.99,ZA,1609278687
faanui,-16.48,-151.75,80.64,78,94,14.79,PF,1609279093
hualmay,-11.1,-77.61,73.62,74,91,11.97,PE,1609279094
